scene update,player update,enemy update,particles update,particles draw,scene draw,player draw,enemies draw,frame draw
0.000100677,0.00035874,7.88982e-005,0.000219847,0.00138113,0.000277376,6.53376e-005,4.10928e-007,3.40754
3.08196e-005,3.94491e-005,1.43825e-005,0.000127388,0.00307456,0.000236284,5.67081e-005,4.10928e-007,0.00867469
3.04087e-005,0.000161906,2.13683e-005,8.50621e-005,0.00390258,0.000323811,5.46534e-005,4.10928e-007,0.0109241
3.24633e-005,4.43802e-005,1.52043e-005,5.58862e-005,0.00363795,0.000260117,6.16392e-005,0,0.0103644
3.16415e-005,4.27365e-005,1.47934e-005,5.34206e-005,0.00316497,0.000244502,5.79409e-005,4.10928e-007,0.00871044
0.000103143,6.08174e-005,1.47934e-005,5.46534e-005,0.00318798,0.000242448,5.91736e-005,4.10928e-007,0.00887111
9.86227e-005,6.57485e-005,1.47934e-005,5.25988e-005,0.0030758,0.000235462,5.67081e-005,0,0.00870798
3.24633e-005,4.52021e-005,1.43825e-005,5.42425e-005,0.00297594,0.000227243,5.46534e-005,0,0.00817541
0.000100266,5.1366e-005,1.39716e-005,7.10906e-005,0.00285307,0.000220257,5.30097e-005,4.10928e-007,0.0079079
0.000100266,6.2872e-005,1.31497e-005,7.27343e-005,0.00279842,0.000213272,5.09551e-005,0,0.00763463
9.61572e-005,5.87627e-005,1.35606e-005,6.41048e-005,0.00282924,0.000214504,5.17769e-005,4.10928e-007,0.00771682
9.78009e-005,5.17769e-005,1.35606e-005,6.98578e-005,0.00279349,0.000212039,5.1366e-005,4.10928e-007,0.00767778
0.000106841,3.82163e-005,1.35606e-005,7.15015e-005,0.00281568,0.000214915,5.21879e-005,4.10928e-007,0.00768518
0.000104787,4.23256e-005,1.39716e-005,7.64326e-005,0.00296608,0.000221901,5.34206e-005,4.10928e-007,0.00780969
9.53353e-005,5.42425e-005,1.39716e-005,7.23233e-005,0.00285225,0.000221901,5.34206e-005,4.10928e-007,0.00779777
2.95868e-005,4.60239e-005,1.39716e-005,7.23233e-005,0.00277335,0.000221901,5.30097e-005,4.10928e-007,0.0088818
3.28742e-005,5.21879e-005,1.47934e-005,8.05419e-005,0.00307867,0.000248611,6.16392e-005,4.10928e-007,0.00904905
3.08196e-005,4.19147e-005,1.43825e-005,5.1366e-005,0.00309922,0.00025683,6.08174e-005,4.10928e-007,0.00935519
3.20524e-005,4.47912e-005,1.47934e-005,6.98578e-005,0.003294,0.000252721,6.12283e-005,4.10928e-007,0.0089344
3.986e-005,6.57485e-005,1.47934e-005,6.8625e-005,0.00315593,0.000244502,5.87627e-005,0,0.00860689
4.27365e-005,4.68458e-005,1.39716e-005,6.53376e-005,0.00305813,0.000235873,5.75299e-005,0,0.00829171
9.94446e-005,4.43802e-005,1.39716e-005,6.90359e-005,0.00296197,0.000226832,5.50644e-005,0,0.00799995
0.000103965,5.17769e-005,1.31497e-005,7.15015e-005,0.00286047,0.000220257,5.34206e-005,0,0.0078138
2.99977e-005,4.10928e-005,1.39716e-005,6.90359e-005,0.00284116,0.000220668,5.30097e-005,0,0.00770778
2.8354e-005,4.43802e-005,1.35606e-005,6.98578e-005,0.00275527,0.000213683,5.17769e-005,4.10928e-007,0.00761573
0.0005979,0.000722001,0.000207519,0.000841992,0.027517,0.0017637,0.000365726,8.21856e-007,0.0454466
0.000100266,0.000126155,4.97223e-005,0.000347645,0.010858,0.00075734,0.000187383,8.21856e-007,0.0252758
7.23233e-005,9.49244e-005,3.4107e-005,0.000201355,0.00802625,0.000625022,0.000149578,8.21856e-007,0.0206438
