scene update,player update,enemy update,particles update,game events,scene draw,player draw,enemies draw,particles draw,frame draw
2.34231e-005,3.5751e-005,2.42449e-005,0.000103144,0.00132484,0.00216684,5.25991e-005,0.000165194,0.000766797,0.0146645
2.9587e-005,5.42429e-005,0.00012369,4.7257e-005,0.00039737,0.00264064,5.25991e-005,0.000143415,0.000814465,0.0120111
2.13684e-005,3.45182e-005,6.32833e-005,4.60242e-005,1.10951e-005,0.00211465,5.09554e-005,0.000138484,0.000793507,0.0100099
2.09575e-005,3.534e-005,5.9585e-005,4.60242e-005,1.10951e-005,0.00206287,5.21882e-005,0.000140127,0.000743785,0.00929772
2.50668e-005,4.60242e-005,8.3008e-005,6.73926e-005,1.23279e-005,0.00227697,5.67084e-005,0.000161907,0.000802137,0.010798
2.30121e-005,4.19149e-005,6.24615e-005,6.57489e-005,1.1917e-005,0.00218286,7.64331e-005,0.000177933,0.000783645,0.00944524
2.21903e-005,4.19149e-005,6.12287e-005,6.69817e-005,1.1917e-005,0.0021804,5.46538e-005,0.000147935,0.000788987,0.00970331
2.34231e-005,9.08157e-005,5.99959e-005,7.39675e-005,1.15061e-005,0.00214506,5.30101e-005,0.000146291,0.000743374,0.00909143
2.17793e-005,4.10931e-005,5.99959e-005,6.61599e-005,1.15061e-005,0.00211218,5.25991e-005,0.000144237,0.000757345,0.00950935
2.21903e-005,4.02712e-005,5.99959e-005,6.78036e-005,1.1917e-005,0.00215122,5.30101e-005,0.000149579,0.000767208,0.00917156
2.17793e-005,4.06821e-005,5.9585e-005,5.75303e-005,1.10951e-005,0.00210807,5.25991e-005,0.000147524,0.000765975,0.00945469
2.21903e-005,3.82166e-005,6.36943e-005,6.32833e-005,1.15061e-005,0.00210849,5.13663e-005,0.000179988,0.00109677,0.0101204
2.13684e-005,3.49291e-005,5.99959e-005,5.58866e-005,1.15061e-005,0.0021241,5.30101e-005,0.000152866,0.0007594,0.00957304
2.09575e-005,3.36963e-005,5.75303e-005,6.45161e-005,1.10951e-005,0.00206493,5.17773e-005,0.000153277,0.000730635,0.00946415
2.01356e-005,3.41073e-005,5.83522e-005,6.69817e-005,1.10951e-005,0.00205671,5.09554e-005,0.000152044,0.000728169,0.00951798
2.05465e-005,3.41073e-005,5.99959e-005,7.02692e-005,1.15061e-005,0.00211465,5.25991e-005,0.000159441,0.000743785,0.0095036
2.13684e-005,3.32854e-005,5.99959e-005,6.90364e-005,1.15061e-005,0.00211054,5.25991e-005,0.000160263,0.000733922,0.0096129
2.13684e-005,3.36963e-005,5.99959e-005,6.61599e-005,1.15061e-005,0.00211712,5.30101e-005,0.000166016,0.000741319,0.00980933
2.26012e-005,3.534e-005,6.16396e-005,5.83522e-005,1.15061e-005,0.00217711,5.42429e-005,0.000166427,0.000791042,0.00975303
2.17793e-005,3.41073e-005,5.9585e-005,5.71194e-005,1.15061e-005,0.00212287,5.25991e-005,0.000162729,0.000742552,0.00985617
2.01356e-005,3.36963e-005,0.000761044,5.75303e-005,1.15061e-005,0.00210397,5.3421e-005,0.000166427,0.000736388,0.0095903
